,CompositeScore,WinRate,CI_Low,CI_High
Baldassare Reina,0.3419149392589179,0.008774436090225563,0.008287444588302426,0.009290192772016079
Reinhard Marx,0.34031195968155586,0.008240601503759399,0.0077689747232044986,0.008741024668619762
Chibly Langlois,0.34024566148286917,0.008157894736842105,0.007688693511489702,0.008655897180325927
Juan García Rodríguez,0.33969431141059026,0.008278195488721805,0.007805470301774755,0.008779714862718268
Vicente Bokalic Iglic CM,0.33830209344114714,0.008511278195488721,0.008031799147604103,0.009019537806599863
Kriengsak Kovitvanit,0.3378292696535988,0.007984962406015038,0.007520873780744985,0.008477862355874197
Carlos Castillo Mattasoglio,0.33704009685958675,0.008511278195488721,0.008031799147604103,0.009019537806599863
Soane Patita Paini Mafi,0.33582676131638783,0.008541353383458647,0.008061009802983056,0.009050475769147047
Stephen Ameyu Martin Mulla,0.3330773400591946,0.008,0.0075354645669779745,0.008493345878823713
Pierbattista Pizzaballa OFM,0.3283885889046952,0.008090225563909774,0.00762301825681398,0.008586238043941652
Ignace Bessi Dogbo,0.32202386074031025,0.007706766917293233,0.007251023173597461,0.008191338241871227
Francisco Robles Ortega,0.3216985720557491,0.008082706766917294,0.0076157215320434785,0.008578497614141855
Manuel Clemente,0.3181156017490029,0.007706766917293233,0.007251023173597461,0.008191338241871227
Désiré Tsarahazana,0.31264039668108334,0.007969924812030075,0.007506283424958641,0.008462378402471145
Peter Okpaleke,0.3109971194042606,0.00793233082706767,0.007469809426638861,0.008423666627787395
Angelo De Donatis,0.3094041808099818,0.007300751879699248,0.006857468352988553,0.007772886707941143
François-Xavier Bustillo OFMConv,0.3056494026110482,0.008037593984962406,0.007571943407887815,0.008532052810840584
Ángel Fernández Artime SDB,0.3041543201210512,0.007225563909774436,0.006784626320545434,0.007695357192563536
José Tolentino de Mendonça,0.30363827874782495,0.0075639097744360905,0.007112511081761779,0.008044144394825745
Dominique Mathieu OFMConv,0.30361515733090616,0.007526315789473684,0.007076067481948523,0.008005402221130388
Joseph Coutts,0.2994717560521604,0.0074285714285714285,0.006981327925735059,0.00790465876598106
Baselios Cleemis,0.2990775885672854,0.007699248120300752,0.0072437320325674775,0.008183592228240676
Michael Czerny SJ,0.2978823981659565,0.007300751879699248,0.006857468352988553,0.007772886707941143
Fabio Baggio CS,0.2974645620898913,0.007157894736842105,0.006719079161325164,0.007625569958548405
Ladislav Nemet SVD,0.2925547111748518,0.0071203007518796995,0.006682668495283603,0.007586794850487733
Jean-Pierre Kutwa,0.2896227865099131,0.007390977443609023,0.006944895005074837,0.007865905912945571
Protase Rugambwa,0.2810808894808036,0.00675187969924812,0.006326016820909478,0.007206625935319968
Víctor Manuel Fernández,0.2624502907970324,0.006646616541353383,0.006224176114809798,0.007097946471780209
Christophe Pierre,0.26155800391900974,0.006533834586466165,0.006115091842409078,0.0069814734189228966
Louis Raphaël I Sako,0.25916290417117505,0.006819548872180451,0.006391500181080205,0.007276476969623694
Konrad Krajewski,0.25659404360390425,0.006338345864661654,0.005926090238549903,0.006779508990652879
Luis Antonio Tagle,0.25332343881602437,0.006278195488721805,0.005867956321106722,0.006717345666986591
George Koovakad,0.2477046044537795,0.005924812030075188,0.005526623266276659,0.006351932425537337
Jozef De Kesel,0.24688752462473298,0.005924812030075188,0.005526623266276659,0.006351932425537337
Mario Zenari,0.24419435584281948,0.006413533834586466,0.005998771276089428,0.006857199504193882
Timothy Radcliffe OP,0.24126872481248254,0.005894736842105263,0.005497590310682265,0.006320816759767794
Claudio Gugerotti,0.23899058780948115,0.005894736842105263,0.005497590310682265,0.006320816759767794
Marcello Semeraro,0.23886723852980554,0.005902255639097745,0.005504848296803835,0.006328595928993526
Mauro Gambetti OFMConv,0.23866827331029739,0.005857142857142857,0.005461302922297933,0.006281918371351684
Domenico Battaglia,0.23746471149206072,0.005909774436090225,0.005512106451656356,0.0063363749294840736
Malcolm Ranjith,0.23364290004658775,0.005992481203007519,0.005591957200575,0.006421932889065105
Lazarus You Heung-sik,0.23262067781716214,0.005819548872180451,0.005425019800725411,0.006243015716015725
Robert Francis Prevost OSA,0.23239832457593576,0.005789473684210527,0.005395996403184529,0.006211890491950609
Mario Grech,0.2315656053972131,0.0059172932330827065,0.005519364774920177,0.0063441537615591395
Rolandas Makrickas,0.23141026195753747,0.005571428571428572,0.005185661235282487,0.0059861481509956415
Rainer Woelki,0.2152685223402141,0.005308270676691729,0.004932015333948883,0.005713493604925639
William Goh,0.2131026735668167,0.005105263157894737,0.004736510215679897,0.005502995516099024
Daniel DiNardo,0.19943844639601202,0.004744360902255639,0.004389328807438054,0.005128393432907202
Giuseppe Petrocchi,0.17767531337183193,0.004556390977443609,0.004208714757776293,0.004933078573604374
Timothy Dolan,0.17420551643004925,0.004646616541353383,0.004295390716783258,0.0050268484915743155
